SN_name,redshift,x1_stretch,distance_modulus,mu_error
ASASSN-15hg,0.03143,-1.28742,35.6461,0.196214
ATLAS17axb,0.03143,-0.127194,35.5602,0.185563
2010gn,0.03147,-0.777601,35.9119,0.273901
2000dn,0.03148,-0.301281,35.707,0.22057
2006en,0.03162,-0.171952,35.6474,0.19424
2006en,0.03162,-0.46389,35.6847,0.188076
2006az,0.03201,-1.42383,35.4896,0.148675
010026,0.03236,-0.409321,35.6746,0.20211
2007ux,0.03264,-1.93734,35.8808,0.19004
2007ux,0.03264,-2.51403,35.6656,0.274525
ASASSN-15pr,0.03264,-0.669639,35.9082,0.198168
2008gl,0.03272,-1.48661,35.6638,0.156049
2008gl,0.03272,-1.25791,35.6366,0.169859
2008gl,0.03272,-1.37868,35.6431,0.148421
2006te,0.0329,-0.090751,35.7248,0.15355
2006os,0.03294,-0.668765,35.7992,0.326022
2004as,0.03296,-0.251932,35.7324,0.22019
2008gp,0.03333,-0.140482,35.6643,0.150947
2008gp,0.03333,-0.205011,35.7268,0.162633
2005iq,0.03341,-1.11399,35.8647,0.150987
2005iq,0.03341,-1.16049,35.8516,0.143619
2004L,0.03373,-1.03269,35.829,0.273673
2003gn,0.03375,-1.09542,36.0229,0.243018
2003cq,0.03378,-0.735787,35.8276,0.259126
ASASSN-16dw,0.03437,-0.229019,35.7837,0.217075
2007ba,0.03441,-2.29268,35.825,0.340606
1996bl,0.03459,-0.152679,35.7348,0.155656
2003kc,0.03479,-0.627251,35.8566,0.205773
2003iv,0.03491,-2.07235,35.9118,0.165632
1992bg,0.03515,-0.452709,35.8937,0.211664
2008at,0.03522,-1.53188,35.8349,0.334212
2007hu,0.03551,-1.39482,35.9905,0.374822
PTSS-16efw,0.03568,-0.139619,36.234,0.188455
2016fbk,0.03576,-0.491218,35.9591,0.225173
AT2016fbk,0.03576,-0.008242,36.1545,0.230318
1994T,0.03583,-1.51339,35.9325,0.204232
ASASSN-15lu,0.03635,-0.590345,36.0035,0.185251
2008hj,0.03682,-0.463779,35.8836,0.185109
2000dg,0.03697,-1.33287,36.0748,0.289284
2002G,0.03702,-1.4815,35.8056,0.308166
2002G,0.03702,-1.20109,35.9287,0.318471
2006mo,0.03702,-2.1933,36.0695,0.175025
2000cf,0.03707,-0.520479,36.0475,0.166339
ASASSN-16db,0.0373,-1.00742,35.8698,0.18969
AT2016hns,0.0374,-1.00508,35.9789,0.163683
2007jg,0.03756,-0.411462,36.3333,0.171248
2007jg,0.03756,-0.553643,36.2185,0.171341
AT2016cvw,0.03787,-1.83186,36.0063,0.206656
2002eu,0.0379,-2.0681,36.0624,0.163008
2007O,0.03818,-0.124259,35.8938,0.151724
2007O,0.03818,-0.531568,35.8617,0.152703
2008O,0.03847,-1.93144,36.2254,0.311188
ASASSN-15np,0.03884,-1.06429,36.026,0.219507
2008dr,0.04014,-1.38746,36.284,0.147901
PS15cze,0.04035,-1.51168,36.5486,0.234635
PS16axi,0.04089,-0.724985,36.1263,0.168835
2009do,0.04099,-1.16148,36.0403,0.147245
2007jh,0.04167,-1.96997,36.5601,0.280122
1992bl,0.04222,-1.72194,36.2101,0.208042
2006cf,0.04268,-0.261406,36.2931,0.151018
AT2016htm,0.04289,-0.466558,36.2018,0.162522
SN2016ayg,0.04349,-0.263111,36.4165,0.166064
2007nq,0.04349,-1.89805,36.2137,0.152187
2007nq,0.04349,-1.73962,36.2882,0.166626
ASASSN-15mg,0.04408,-1.55653,36.3298,0.181208
2005ku,0.04439,-0.1945,36.2916,0.249078
1992bh,0.0444,-0.008455,36.551,0.270525
2006gt,0.04464,-2.07243,36.5114,0.286272
2006hx,0.04487,-0.133588,36.4565,0.162334
PS16cqa,0.04521,-2.74165,36.6866,0.304921
SN2016esh,0.04583,-1.2223,36.1579,0.182756
PS17tn,0.0459,-0.608838,36.3811,0.196005
2005lz,0.04643,-1.22727,36.3247,0.195021
360156,0.04656,-0.863374,36.5081,0.209562
AT2017yk,0.04691,-0.599325,36.7582,0.280677
2016afk,0.04738,-0.290903,36.5642,0.229149
PS16fa,0.0476,-0.651798,36.6009,0.161688
ASASSN-15pm,0.04837,-0.070478,36.3735,0.154741
